MMSI,VesselName,LAT,LON,SOG,COG,Heading,VesselType,Length,Width,Draft,Destination,ETA,NavigationStatus,Timestamp
367123456,OCEAN VOYAGER,51.505,-0.09,12.5,45,47,70,180,25,8.5,LONDON,2024-08-31 14:30,0,2024-08-30T10:30:00Z
244567890,ATLANTIC STAR,51.515,-0.1,8.2,180,178,80,220,32,12.2,SOUTHAMPTON,2024-08-31 16:45,0,2024-08-30T10:30:00Z
538123789,PACIFIC DREAM,51.52,-0.08,15.1,90,92,Container,350,45,14.8,FELIXSTOWE,2024-09-01 08:15,0,2024-08-30T10:30:00Z
219456123,NORTH WIND,51.49,-0.11,6.8,270,268,Bulk,175,28,10.5,LIVERPOOL,2024-09-01 12:00,0,2024-08-30T10:30:00Z
305789012,EUROPA GLORY,51.48,-0.12,14.3,315,318,60,280,42,11.2,HAMBURG,2024-09-01 20:30,0,2024-08-30T10:30:00Z
636345678,ASIAN PEARL,51.53,-0.07,11.7,135,138,Container,320,48,13.5,ROTTERDAM,2024-09-02 06:15,0,2024-08-30T10:30:00Z
477234567,NORDIC FROST,51.46,-0.13,9.4,225,223,Fishing,45,12,4.2,GRIMSBY,2024-08-30 18:00,7,2024-08-30T10:30:00Z
351890123,CARIBBEAN QUEEN,51.51,-0.095,22.1,60,62,Passenger,220,28,7.8,DOVER,2024-08-30 16:45,0,2024-08-30T10:30:00Z
440567890,BLACK SEA TRADER,51.52,-0.105,13.6,200,198,70,195,30,9.1,ANTWERP,2024-09-01 14:20,0,2024-08-30T10:30:00Z
503234567,MEDITERRANEAN EXPRESS,51.47,-0.085,16.8,75,78,Container,298,40,12.8,LE HAVRE,2024-08-31 22:10,0,2024-08-30T10:30:00Z
228678901,BALTIC PIONEER,51.525,-0.115,7.9,330,332,80,165,24,8.9,OSLO,2024-09-02 10:45,0,2024-08-30T10:30:00Z
235901234,NORTH SEA GUARDIAN,51.485,-0.075,19.2,15,18,52,85,18,5.5,BERGEN,2024-09-01 09:30,0,2024-08-30T10:30:00Z
564123789,SOUTHERN CROSS,51.512,-0.088,10.5,120,122,70,210,32,10.8,BILBAO,2024-09-02 15:20,0,2024-08-30T10:30:00Z
319456789,ARCTIC VOYAGER,51.495,-0.102,8.7,285,287,Container,340,44,13.9,GÖTEBORG,2024-09-03 07:45,0,2024-08-30T10:30:00Z
426789012,SUNSET BREEZE,51.508,-0.092,25.3,45,47,37,55,15,3.8,BRIGHTON,2024-08-30 15:30,8,2024-08-30T10:30:00Z
667345123,ORIENTAL SPIRIT,51.518,-0.108,12.1,165,167,Container,385,52,15.2,ZEEBRUGGE,2024-09-01 11:15,0,2024-08-30T10:30:00Z
214567123,VIKING LEGEND,51.492,-0.118,5.2,255,253,Fishing,38,10,3.9,HULL,2024-08-30 19:45,7,2024-08-30T10:30:00Z
372890456,BLUE HORIZON,51.522,-0.072,17.4,105,108,60,245,35,9.7,CALAIS,2024-08-31 13:20,0,2024-08-30T10:30:00Z
509123456,GOLDEN GATE,51.475,-0.095,11.9,190,192,80,188,28,8.6,BREST,2024-09-01 17:50,0,2024-08-30T10:30:00Z
633789456,EMERALD ISLE,51.535,-0.065,20.1,30,33,Passenger,185,25,6.9,DUBLIN,2024-08-31 08:40,0,2024-08-30T10:30:00Z
